Date,SMA
2023-01-03,367.1507263183594
2023-01-04,368.5679931640625
2023-01-05,367.63280232747394
2023-01-06,369.26214599609375
2023-01-09,370.19732666015625
2023-01-10,371.2578531901042
2023-01-11,372.69573974609375
2023-01-12,373.9477005004883
2023-01-13,375.086418999566
2023-01-17,375.92701110839846
2023-01-18,376.06435324928975
2023-01-19,375.9498341878255
2023-01-20,376.3898667555589
2023-01-23,377.0941401890346
2023-01-24,377.6768737792969
2023-01-25,378.19580268859863
2023-01-26,378.90321260340073
2023-01-27,379.5818345811632
2023-01-30,379.9307459781044
2023-01-31,380.52869567871096
2023-02-01,381.2680257161458
2023-02-02,382.20220669833094
2023-02-03,382.86946172299594
2023-02-06,383.37987899780273
2023-02-07,384.0561669921875
2023-02-08,384.5120861346905
2023-02-09,384.80711534288196
2023-02-10,385.113780430385
2023-02-13,385.5585400811557
2023-02-14,385.96754455566406
2023-02-15,387.0332051595052
2023-02-16,387.8212005615234
2023-02-17,388.71717834472656
2023-02-21,389.0710052490234
2023-02-22,389.4142283121745
2023-02-23,389.73816731770836
2023-02-24,389.76580708821615
2023-02-27,389.7905527750651
2023-02-28,389.71856689453125
2023-03-01,389.6211924235026
2023-03-02,389.8242991129557
2023-03-03,390.3240275065104
2023-03-06,390.60008036295574
2023-03-07,390.52423706054685
2023-03-08,390.4831024169922
2023-03-09,390.20061950683595
2023-03-10,389.5951629638672
2023-03-13,388.9421417236328
2023-03-14,388.65740966796875
2023-03-15,388.1046539306641
2023-03-16,387.6325642903646
2023-03-17,386.8194508870443
2023-03-20,386.26967366536456
2023-03-21,385.96766560872396
2023-03-22,385.27403971354164
2023-03-23,384.76051025390626
2023-03-24,384.4446156819661
2023-03-27,384.122065226237
2023-03-28,383.6168650309245
2023-03-29,383.3032633463542
2023-03-30,383.0224100748698
2023-03-31,383.10829569498696
2023-04-03,383.27728271484375
2023-04-04,383.6352783203125
2023-04-05,383.97643127441404
2023-04-06,384.3007456461589
2023-04-10,384.7761545817057
2023-04-11,385.21172790527345
2023-04-12,385.640668741862
2023-04-13,386.2933034261068
2023-04-14,386.8146952311198
2023-04-17,387.178798421224
2023-04-18,387.54261678059896
2023-04-19,388.1034250895182
2023-04-20,388.5704355875651
2023-04-21,389.2842966715495
2023-04-24,390.1936024983724
2023-04-25,390.90928344726564
2023-04-26,391.36476643880206
2023-04-27,392.15867716471354
2023-04-28,392.8466420491537
2023-05-01,393.66990356445314
2023-05-02,394.22154235839844
2023-05-03,394.5154276529948
2023-05-04,394.9354482014974
2023-05-05,395.56321716308594
2023-05-08,396.11130777994794
2023-05-09,396.57713317871094
2023-05-10,397.13361104329425
2023-05-11,397.4813700358073
2023-05-12,397.73589680989585
2023-05-15,397.85267435709636
2023-05-16,397.83009236653646
2023-05-17,398.0417124430339
2023-05-18,398.41688944498696
2023-05-19,398.7210957845052
2023-05-22,399.0172383626302
2023-05-23,399.15821329752606
2023-05-24,399.25628051757815
2023-05-25,399.2943491617838
2023-05-26,399.5382314046224
2023-05-30,399.7395273844401
2023-05-31,399.85695190429686
2023-06-01,400.1047047932943
2023-06-02,400.6221486409505
2023-06-05,401.1028157552083
2023-06-06,401.5996124267578
2023-06-07,402.259966023763
2023-06-08,403.059033203125
2023-06-09,403.6232513427734
2023-06-12,404.1997304280599
2023-06-13,404.88202006022135
2023-06-14,405.7317362467448
2023-06-15,406.84726969401044
2023-06-16,408.0073984781901
2023-06-20,408.8517578125
2023-06-21,409.6200358072917
2023-06-22,410.49754333496094
2023-06-23,411.2062591552734
2023-06-26,411.8808888753255
2023-06-27,412.72609354654946
2023-06-28,413.53261413574216
2023-06-29,414.48386433919273
2023-06-30,415.4418650309245
2023-07-03,416.28733927408854
2023-07-05,417.13112080891926
2023-07-06,417.8570607503255
2023-07-07,418.6986796061198
2023-07-10,419.6730183919271
2023-07-11,420.6231750488281
2023-07-12,421.51537068684894
2023-07-13,422.51702779134115
2023-07-14,423.58478190104165
2023-07-17,424.5749766031901
2023-07-18,425.4768585205078
2023-07-19,426.4378977457682
2023-07-20,427.2711486816406
2023-07-21,428.1521443684896
2023-07-24,429.01531778971355
2023-07-25,429.8938028971354
2023-07-26,430.64874267578125
2023-07-27,431.21363321940106
2023-07-28,431.9051890055338
2023-07-31,432.4500681559245
2023-08-01,433.00116475423175
2023-08-02,433.42047526041665
2023-08-03,433.87054850260415
2023-08-04,434.2040547688802
2023-08-07,434.77069498697915
2023-08-08,435.3311818440755
2023-08-09,435.64137776692706
2023-08-10,435.9496297200521
2023-08-11,436.1937703450521
2023-08-14,436.35016072591145
2023-08-15,436.3210174560547
2023-08-16,436.208012898763
2023-08-17,436.09889628092446
2023-08-18,436.0325185139974
2023-08-21,436.02215881347655
2023-08-22,435.8826029459635
2023-08-23,435.78578694661456
2023-08-24,435.37554219563805
2023-08-25,435.0740905761719
2023-08-28,434.8124674479167
2023-08-29,434.64959818522135
2023-08-30,434.51393025716146
2023-08-31,434.454677327474
2023-09-01,434.42262268066406
2023-09-05,434.26202189127605
2023-09-06,433.96348164876304
2023-09-07,433.6183166503906
2023-09-08,433.39263305664065
2023-09-11,433.1183807373047
2023-09-12,432.7363047281901
2023-09-13,432.413481648763
2023-09-14,432.4209299723307
2023-09-15,432.29445393880206
2023-09-18,432.2421569824219
2023-09-19,432.0336853027344
2023-09-20,431.7564290364583
2023-09-21,431.3407307942708
2023-09-22,430.8883341471354
2023-09-25,430.5031697591146
2023-09-26,429.83201802571614
2023-09-27,429.3354115804037
2023-09-28,429.0242960611979
